period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
6/1/12,6/30/12,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,180681.8826,0.009279655,,191770.2285,0.009314553,,100.9354407,0.009931284,,105.6874612,0.003117451,,394018.0118,0.003501692,,258263.6741,0.01118341,,492863.0069,0.007013116,,1994015.243,-0.026453507,,5.054373015,-0.226129732,,79.18924356,-1,,0.96588135,0.001010883,,0.181319843,0.001538807,,0.057078426,-0.000474848,,0.290756817,0.004990761,,,,9/13/22 0:00
2/1/14,2/28/14,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,186486.8166,0.022101778,0.14356558,195493.0232,-0.003480652,0.133655965,158.4107287,0.004685985,0.156874748,168.5995034,0.00057945,0.156364562,52390.28284,0.026449264,-0.009227955,39821.38051,0.013968541,0.016321146,65487.64237,0.020332112,0.024636976,213386.6523,-6.77E-05,0.011196656,4.516002319,0.040070624,0.029524992,62.30859306,0,-3,0.972250278,0.000257652,-0.000659317,0.176107062,-0.006451623,-0.042203961,0.068758189,0.012530787,0.014574983,0.302727487,0.006308563,-0.035615045,,,9/13/22 0:00
2/1/16,2/29/16,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,216126,-0.064013118,0.067802526,261271,0.067174384,0.069035746,102,-0.035653454,0.057821075,123,0.037379073,0.049175981,8320,0.066060028,0.183435273,6686,0.161949229,0.193920743,13041,0.164966826,0.141162398,44524,0.011994144,-0.063521554,5.351457464,-0.285902123,-1.411221972,69,10,-7,0.95346306,0.001267789,0.002582471,0.201461716,0.006074976,0.000866659,0.080039935,-0.00245983,0.020985523,0.391322931,0.083535501,0.041925473,,,9/11/22 14:57
5/1/15,5/31/15,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,238238,0.032869,0.076387103,254289,-0.004176597,0.043527436,127,0.017418461,0.061561554,133,0.003441891,0.047418371,537679,0.098771712,0.073401439,474590,0.056647536,0.066559109,763366,-0.019086616,0.045326541,1974155,0.044510823,0.022002621,3.671623928,-0.190735771,-0.18465425,48,-7,-4,0.980530419,0.002054943,0.003342971,0.231438097,0.007753633,0.016046157,0.117810194,0.009095486,0.019096523,0.380548193,-0.027426871,0.031591646,,,9/11/22 14:57
10/1/18,10/31/18,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,249235,-0.008794817,0.017705226,262085,-0.016768267,0.055408928,156,-0.007188146,0.025553927,162,-0.018026967,0.051073217,47928,0.077551697,0.023580895,43520,0.135152567,0.043516151,56987,-0.005447457,0.08028655,130917,0.001324862,0.07460058,2.731540018,-0.207941157,0.129687546,37,5,1,0.985422246,-0.002671619,-0.001629565,0.240223807,-0.01766119,-0.004910367,0.181402213,0.02190965,0.078409196,0.313728864,-0.05948343,-0.080687567,,,9/11/22 14:57
4/1/18,4/30/18,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,280121,0.012953328,0.071231967,306789,0.014412384,0.072127921,152,0.01939738,0.074778291,159,0.014381493,0.069897328,545746,0.04594823,0.052168499,543915,0.108207307,0.090205094,777512,0.057076627,0.065431295,1479072,0.056664686,-0.075956325,2.710182935,0.027486067,-0.375784954,36,-9,-5,0.987784297,0.002974305,0.00290583,0.282077396,0.02589951,0.017486887,0.120991252,0.006206749,0.015107334,0.470989228,-0.015445241,0.019941492,,,9/11/22 14:57
7/1/19,7/31/19,30,national,11,1400,f, National,National,U.S.,US,Single Family Residential,6,308727,-0.008331841,0.046307484,306540,-0.032114473,0.023835281,154,-0.004961688,0.034124344,155,-0.010622527,0.024335398,507034,0.023026728,0.037015614,427153,0.010246538,0.014298719,560157,-0.045535631,-0.007367897,1351906,-0.005933097,0.001536264,2.66630251,-0.077676515,-0.094453575,37,1,3,0.986153512,-0.001142551,-0.001404152,0.257345568,-0.01139877,-0.022843911,0.171707952,0.002947757,0.00331116,0.358915049,-0.03679748,-0.008538514,,,9/11/22 14:57
10/1/13,10/31/13,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,198162,0.010385014,0.142053831,194275,-0.040932261,0.12650465,128,0.011928808,0.14327844,127,-0.033308438,0.135455657,36576,-0.003059896,0.171855806,29090,0.023494847,0.181294082,45987,-0.022203872,0.16341838,142465,0.001867373,0.005211034,3.895022138,0.019156049,-0.645720205,50,2,-14,0.980143657,-0.001742674,0.006615114,0.226949374,-0.013028297,0.020098387,0.086404333,0.014108199,0.021461702,0.325947594,-0.007154099,-0.022881525,,,9/11/22 14:57
3/1/12,3/31/12,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,143703.8218,0.01031343,,157931.4187,0.005261225,,121.5925361,0.017041713,,134.6058527,0.007824151,,48431.07927,-0.005510442,,31506.01864,-0.015131563,,60723.52182,-0.023700871,,266608.6794,-0.02377303,,5.990479439,-0.124643273,,91.41451569,2,,0.957085938,0.000260163,,0.167997797,0.005123606,,0.071300971,-0.00206887,,0.249224069,0.007548809,,,,9/13/22 0:00
12/1/16,12/31/16,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,236452.4487,0.011269486,0.074107006,237720.7939,-0.014653887,0.058324246,144.8273625,-0.000948638,0.053155699,148.4762395,-0.005414002,0.061967201,46174.12129,0.002019328,0.062602945,40488.49561,0.028921264,0.107090159,54502.68716,0.047463389,0.061515641,122558.9259,-0.012926606,-0.098063388,2.709311071,-0.020300479,-0.524998084,40.78069058,-1,-5,0.985496467,0.001251162,0.003612844,0.238685844,0.005771002,0.016339119,0.081017472,-0.011945781,-0.020036051,0.414758767,0.013771793,0.049361185,,,9/13/22 0:00
4/1/17,4/30/17,30,national,11,1400,t, National,National,U.S.,US,Single Family Residential,6,267972.9819,0.005771925,0.071893821,281316.1165,-0.007041954,0.056350025,135.3651241,0.004502323,0.069008282,140.1511026,-0.000476679,0.053015016,419791.3943,0.01183515,0.037967788,335923.5809,-0.016969499,0.034255884,481287.5786,-0.004557343,0.003366619,1281930.702,-0.007505176,-0.102151545,3.18228795,-0.031482748,-0.407424529,45.9842502,-1,-8,0.981120662,0.000129308,0.002808183,0.243219959,0.005577212,0.015585055,0.124100177,-0.000846193,-0.003922151,0.371976549,0.000406139,0.01545601,,,9/13/22 0:00
6/1/15,6/30/15,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,199374.5063,-0.001589802,0.064165342,212161.3885,0.000361044,0.062022138,169.7665325,0.004850266,0.065705755,179.4684565,0.006767832,0.051226971,57245.9807,0.006239455,0.07834782,48406.13262,0.04375811,0.171084166,71355.3924,-0.015478116,0.053887691,211316.2511,-0.01156013,-0.015338382,3.643334589,-0.081141392,-0.34243536,50.18085946,-2,-4,0.973838828,0.001220093,0.003670187,0.1903024,0.010685989,0.014480815,0.102591366,0.001360118,0.017029747,0.327555697,-0.006535395,0.014976155,,,9/13/22 0:00
3/1/12,3/31/12,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,175033.4583,0.010713419,,188830.055,0.013953789,,97.19976879,0.019348989,,104.6417732,0.013026931,,384581.5302,0.014742793,,262008.5445,-0.005462289,,512886.3689,-0.003399066,,2133705.132,-0.015847659,,5.822117794,-0.056229598,,84.70125012,1,,0.963114494,0.000449862,,0.184305328,-0.005712015,,0.05906016,-0.000472957,,0.272147895,0.009758047,,,,9/13/22 0:00
11/1/16,11/30/16,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,255533.0197,0.009690373,0.081418055,267056.7004,0.005148878,0.062445024,137.7651398,0.007522217,0.077649029,143.4574899,0.01055799,0.074002639,507887.4001,-0.021727557,0.165922425,412064.7602,0.005241204,0.069571219,601175.3908,0.006439268,-0.007030772,1626103.623,-0.009970624,-0.102025546,3.248488129,0.016798316,-0.966995859,48.35852225,-1,-6,0.981159579,0.000401093,0.004089331,0.228928686,0.001539191,0.015811,0.149672391,0.032058913,0.026356272,0.370018233,0.005081478,0.023172823,,,9/13/22 0:00
3/1/16,3/31/16,30,national,11,1400,t, National,National,U.S.,US,Townhouse,13,221343.0279,0.004875691,0.049579844,232274.6879,0.020921199,0.069333638,137.024879,-0.002912644,0.027122937,144.4319445,0.026695935,0.057908463,43326.41205,-0.008329468,0.068405795,37570.55334,0.030520325,0.101251563,55450.29378,0.056355887,0.090082682,138003.9525,0.009128429,-0.036083781,3.368329475,0.285347236,-0.239958373,47.94727801,0,-5,0.981356227,0.000668429,0.003761385,0.227618232,0.003516885,0.03046735,0.093502408,-0.064782579,-0.004212912,0.39472809,0.02579744,0.052564444,,,9/13/22 0:00
2/1/22,2/28/22,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,323577.3683,0.018241381,0.137053798,336341.6733,0.006885645,0.104727564,290.1966839,0.027326188,0.17456687,301.1314103,0.010709787,0.120878522,68281.02475,-0.095457437,-0.056862324,60582.08375,-0.020353841,-0.054660227,73544.66125,0.023748373,-0.020178424,112860.2067,0.013362469,-0.24848393,1.678307398,0.113432945,-0.484530581,26.33484951,-1,-12,1.009050499,0.005349154,0.020031528,0.413968996,0.005288107,0.158652089,0.077857564,-0.000770594,-0.02572584,0.456209086,-0.010751879,0.055460611,,,9/13/22 0:00
1/1/14,1/31/14,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,204695,0.006424767,0.267956919,217860,0.158782805,0.239430861,95,0.012324576,0.21717625,103,0.165936392,0.222121509,6989,-0.251190973,-0.066398852,4996,-0.136223414,-0.089737208,11213,0.383624612,-0.053028178,47451,-0.007471355,0.021019206,6.788878506,1.667037911,0.581253095,74,3,0,0.950049728,-0.002551458,0.000151357,0.205250125,-0.006608854,-0.028081915,0.059456571,-0.179765066,-0.000437177,0.294747213,0.0691339,-0.01626872,,,9/11/22 14:57
1/1/21,1/31/21,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,329431,-0.00782954,0.140969412,344870,0.056980186,0.116060947,180,0.007487715,0.149359062,191,0.046095241,0.14472516,439393,-0.31344417,0.146119399,428415,-0.020140941,0.283264515,503915,0.25960955,-0.060314316,789211,-0.067217021,-0.387960547,1.796135682,0.474126756,-1.567350018,34,3,-22,0.993233163,-0.000447496,0.015867787,0.331085678,-0.004045709,0.142289959,0.084322914,0.002507532,-0.040909674,0.489408216,0.098849279,0.097330615,,,9/11/22 14:57
3/1/19,3/31/19,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,249447,0.036527458,0.023936827,273614,0.007178386,0.059025375,213,0.031421744,0.02356003,230,-0.016475487,0.054495313,55367,0.295718793,-0.103709949,53727,0.352890964,-0.090065745,82572,0.237943951,-0.015276802,181202,0.039906135,0.162932701,3.272718201,-0.805075301,0.75038414,46,-6,10,0.978601432,0.003836188,-0.006092356,0.183272582,0.025276137,-0.052153998,0.120863999,0.011683897,0.016683185,0.428760924,0.015410729,-0.050421723,,,9/11/22 14:57
3/1/13,3/31/13,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,162928,0.088562845,0.163555406,182125,0.044577652,0.107037669,139,0.078161751,0.153682955,154,0.045301026,0.106891737,51294,0.309864455,0.063075379,39185,0.250658719,0.15108353,69848,0.133103173,-0.041793653,208272,0.019112546,-0.222015527,4.060331185,-1.158408901,-1.48790051,68,-5,-30,0.971552329,0.001909485,0.014918173,0.216593456,0.001939527,0.051698897,0.046109755,0.001751576,-0.018939866,0.387356268,-0.012913549,0.084047065,,,9/11/22 14:57
12/1/12,12/31/12,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,192116,0.022280688,0.126758773,178963,-0.035547273,0.121536623,105,0.011005615,0.112291012,101,-0.029876276,0.099943415,383782,-0.020002374,0.090023636,202567,-0.152286382,0.133242082,290814,-0.228948831,-0.063613361,1639847,-0.084909297,-0.183529624,4.272857466,-0.303071631,-1.431593992,76,3,-19,0.969021007,-0.000545429,0.0111499,0.205577962,0.003840938,0.038074226,0.042844627,-0.00489517,-0.009483408,0.268983567,0.00032662,0.059955065,,,9/11/22 14:57
